Company Name,Top Parent Company,Company Type,Company Category
COMPLETION PRODUCTS PTE. LTD.,COMPLETION PRODUCTS PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,
"THANKO,INC.","THANKO,INC.",,
P.C. IMAGE SDN. BHD.,P.C. IMAGE SDN. BHD.,,
SINOTRANS (SG) PTE. LTD.,SINOTRANS OVERSEAS DEVELOPMENT LIMITED,PRIVATE COMPANY LIMITED BY SHARES,
SENGKANG GENERAL HOSPITAL PTE. LTD.,MINISTER FOR FINANCE,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
SMRT TRAINS LTD.,TEMASEK HOLDINGS (PRIVATE) LIMITED,PUBLIC COMPANY LIMITED BY SHARES,Govt & Related Agencies
SINGAPORE AIRLINES LIMITED,SINGAPORE AIRLINES LIMITED,PUBLIC COMPANY LIMITED BY SHARES,Govt & Related Agencies
NATIONAL UNIVERSITY HOSPITAL (SINGAPORE) PTE LTD,MINISTER FOR FINANCE,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
KHOO TECK PUAT HOSPTIAL PTE. LTD.,MINISTER FOR FINANCE,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
ST ENGINEERING ADVANCED NETWORKS & SENSORS PTE. LTD.,SINGAPORE TECHNOLOGIES ENGINEERING LTD,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
CIVIL AVIATION AUTHORITY OF SINGAPORE,CIVIL AVIATION AUTHORITY OF SINGAPORE,,Govt & Related Agencies
ENERGY MARKET COMPANY PTE LTD,ENERGY MARKET COMPANY PTE LTD,PRIVATE LIMITED,Govt & Related Agencies
HWA CHONG INSTITUTION,HWA CHONG INSTITUTION,,Govt & Related Agencies
INSTITUTE OF MENTAL HEALTH,INSTITUTE OF MENTAL HEALTH,SOLE PROPRIETOR,Govt & Related Agencies
JTC CORPORATION,JTC CORPORATION,,Govt & Related Agencies
SEATRIUM LIMITED,SEATRIUM LIMITED,PUBLIC COMPANY LIMITED BY SHARES,Govt & Related Agencies
KK WOMEN'S AND CHILDREN'S HOSPITAL PTE. LTD.,MINISTER FOR FINANCE,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
MEDIACORP PTE. LTD.,TEMASEK HOLDINGS (PRIVATE) LIMITED,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
MINISTRY OF HOME AFFAIRS,MINISTRY OF HOME AFFAIRS,,Govt & Related Agencies
MINISTRY OF EDUCATION,MINISTRY OF EDUCATION,,Govt & Related Agencies
NATIONAL UNIVERSITY OF SINGAPORE,MINISTRY OF EDUCATION,PUBLIC COMPANY LIMITED BY GUARANTEE,Govt & Related Agencies
NCS PTE. LTD.,SINGAPORE TELECOMMUNICATIONS LIMITED,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
NATIONAL HEALTHCARE GROUP POLYCLINICS,MINISTRY OF HEALTH,SOLE PROPRIETOR,Govt & Related Agencies
NCSI SOLUTIONS PTE. LTD.,NCSI SOLUTIONS PTE. LTD.,PRIVATE LIMITED,Govt & Related Agencies
NG TENG FONG GENERAL HOSPITAL,MINISTRY OF HEALTH,SOLE PROPRIETOR,Govt & Related Agencies
NTUC FAIRPRICE CO-OPERATIVE LTD,NATIONAL TRADE UNION CONGRESS,PRIVATE LIMITED,Govt & Related Agencies
PEOPLE'S ASSOCIATION,PEOPLE'S ASSOCIATION,,Govt & Related Agencies
SIA ENGINEERING COMPANY LIMITED,SINGAPORE AIRLINES LIMITED,PUBLIC COMPANY LIMITED BY SHARES,Govt & Related Agencies
ST ENGINEERING URBAN SOLUTIONS LTD.,SINGAPORE TECHNOLOGIES ENGINEERING LTD,PUBLIC COMPANY LIMITED BY SHARES,Govt & Related Agencies
SINGAPORE GENERAL HOSPITAL PTE LTD,MINISTER FOR FINANCE,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
ST ENGINEERING MARINE LTD.,SINGAPORE TECHNOLOGIES ENGINEERING LTD,PUBLIC COMPANY LIMITED BY SHARES,Govt & Related Agencies
ST ENGINEERING AEROSPACE SYSTEMS PTE. LTD.,SINGAPORE TECHNOLOGIES ENGINEERING LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
ST ENGINEERING DEFENCE AVIATION SERVICES PTE. LTD.,SINGAPORE TECHNOLOGIES ENGINEERING LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
ST ENGINEERING AEROSPACE ENGINES PTE. LTD.,ST ENGINEERING AEROSPACE ENGINES PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
SINGAPORE AEROSPACE MANUFACTURING PRIVATE LIMITED,SINGAPORE AEROSPACE MANUFACTURING PRIVATE LIMITED,PRIVATE LIMITED,Govt & Related Agencies
ST ENGINEERING AEROSPACE SUPPLIES PTE. LTD.,ST ENGINEERING AEROSPACE SUPPLIES PTE. LTD.,PRIVATE LIMITED,Govt & Related Agencies
ST ENGINEERING AEROSPACE SERVICES COMPANY PTE. LTD.,SINGAPORE TECHNOLOGIES ENGINEERING LTD,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
ST ENGINEERING MISSION SOFTWARE & SERVICES PTE. LTD.,SINGAPORE TECHNOLOGIES ENGINEERING LTD,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
SINGAPORE NATIONAL EYE CENTRE PTE LTD,MINISTER FOR FINANCE,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
SINGAPORE SWIMMING CLUB,SINGAPORE SWIMMING CLUB,,Govt & Related Agencies
SINGAPORE INSTITUTE OF TECHNOLOGY,MINISTRY OF EDUCATION,PUBLIC COMPANY LIMITED BY GUARANTEE,Govt & Related Agencies
TAN TOCK SENG HOSPITAL PTE LTD,MINISTER FOR FINANCE,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
YISHUN COMMUNITY HOSPITAL PTE. LTD.,MINISTER FOR FINANCE,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
HEALTH SCIENCES AUTHORITY,HEALTH SCIENCES AUTHORITY,,Govt & Related Agencies
AGENCY FOR INTEGRATED CARE PTE. LTD.,MINISTER FOR FINANCE,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
CERTIS CISCO AUXILIARY POLICE FORCE PTE. LTD.,TEMASEK CAPITAL (PRIVATE) LIMITED,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD.,TEMASEK CAPITAL (PRIVATE) LIMITED,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
SIMPLYGO PTE. LTD.,LAND TRANSPORT AUTHORITY OF SINGAPORE,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
ST ENGINEERING ADVANCED MATERIAL ENGINEERING PTE. LTD.,SINGAPORE TECHNOLOGIES ENGINEERING LTD,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
